College,Major,Class,Difficulty
CALS,Agricultural and Life Sciences Education- B.S - communications option,C I 202,1.84
CALS,Agricultural and Life Sciences Education- B.S - communications option,AN S 114,3.7
CALS,Agricultural and Life Sciences Education- B.S - communications option,ENGL 250,2.333333333333333
CALS,Agricultural and Life Sciences Education- B.S - communications option,AN S 101,1.7142857142857142
CALS,Agricultural and Life Sciences Education- B.S - communications option,ECON 101,5.543478260869565
CALS,Agricultural and Life Sciences Education- B.S - communications option,ENGL 150,2.1818181818181817
CALS,Agricultural and Life Sciences Education- B.S - communications option,LIB 160,2.565217391304348
CALS,Agricultural and Life Sciences Education- B.S - communications option,C I 204,1.45
CALS,Agricultural and Life Sciences Education- B.S - communications option,NREM 120,3.8285714285714287
CALS,Agricultural and Life Sciences Education- B.S - communications option,STAT 104,5.195652173913044
CALS,Agricultural and Life Sciences Education- B.S - communications option,ACCT 284,3.934782608695652
CALS,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 310,1.3333333333333333
CALS,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 211,0
CALS,Agricultural and Life Sciences Education- B.S - communications option,ECON 230,1.6666666666666667
CALS,Agricultural and Life Sciences Education- B.S - communications option,C I 333,1.96875
CALS,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 311,1.475
CALS,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 315,1.6216216216216215
CALS,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 488,1.1176470588235294
CALS,Agricultural and Life Sciences Education- B.S - communications option,AGRON 182,3.6666666666666665
CALS,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 401,1.1333333333333333
CALS,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 416,1.3703703703703705
CALS,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 402,1.0
CALS,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 417,1.0
CALS,Agricultural and Life Sciences Education- B.S - communications option,C I 406,1.0434782608695652
CALS,Agricultural and Life Sciences Education- B.S - communications option,SP ED 401,1.0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,ENGL 150,2.1818181818181817
